algo,alphabet,text_size,pattern_size,sub_cnt,avg_time,avg_oper
cooler_kmp,binary,10000,1800,4,334070,424743
cooler_kmp,binary,10000,1900,4,382638,501336
cooler_kmp,binary,10000,2000,4,341992,470764
cooler_kmp,binary,10000,2100,4,400846,567989
cooler_kmp,binary,10000,2200,4,426101,614180
cooler_kmp,binary,10000,2300,4,412788,615212
cooler_kmp,binary,10000,2400,4,391166,596631
cooler_kmp,binary,10000,2500,4,414028,648490
cooler_kmp,binary,10000,2600,4,405997,649490
cooler_kmp,binary,10000,2700,4,427065,703629
cooler_kmp,binary,10000,2800,4,410075,690233
cooler_kmp,binary,10000,2900,4,465550,798384
cooler_kmp,binary,10000,3000,4,410146,708963
cooler_kmp,binary,100000,100,4,3271370,23047
cooler_kmp,binary,100000,200,4,3840102,53610
cooler_kmp,binary,100000,300,4,3863204,81088
cooler_kmp,binary,100000,400,4,3653723,103301
cooler_kmp,binary,100000,500,4,3643827,128442
cooler_kmp,binary,100000,600,4,3541538,149330
cooler_kmp,binary,100000,700,4,3485894,171744
cooler_kmp,binary,100000,800,4,3618188,203984
cooler_kmp,binary,100000,900,4,3888435,243808
cooler_kmp,binary,100000,1000,4,3952785,273026
cooler_kmp,binary,100000,1100,4,3684993,282882
cooler_kmp,binary,100000,1200,4,3688221,307543
cooler_kmp,binary,100000,1300,4,3408430,308642
cooler_kmp,binary,100000,1400,4,3365279,328625
cooler_kmp,binary,100000,1500,4,3620836,378647
